              RESIDÊNCIAS TERAPÊUTICAS

COD. UNIDADE  NOME UNIDADE                                          ENDEREÇO                    COD POSTAL
11740  SRT 62  RUA DA FEIRA 926 - BANGU                                                21820-030
11741  SRT 63  RUA PROJETADA 04 - LOTE 01 - QUADRA 17 - BLOCO 01 - AP. 101 E 102 - PA  20972-480
11742  SRT 64  RUA PROJETADA 04 - LOTE 01 - QUADRA 17 - BLOCO 01 - AP. 103 - PAL 4801  20972-480
11743  SRT 65  RUA PROJETADA 04 - LOTE 01 - QUADRA 17 - BLOCO 01 - AP. 104 - PAL 4801  20972-480
11744  SRT 66  RUA PROJETADA 04 - LOTE 01 - QUADRA 17 - BLOCO 01 - AP. 105 - PAL 4801  20972-480
11745  SRT 67  RUA HELENO DE FREITAS, 95, CASA 102 - ILHA DO GOVERNADOR                21920-385
11746  SRT 68  RUA GENERAL AURELIO VEIERA 120 TURIAÇU                                  21351-250
11747  SRT 69  RUA HUMAITÁ, 102 - CASA 07 - HUMAITÁ                                    22261-970
11748  SRT 70  RUA FIRMINO GAMELEIRA, 634 - OLARIA                                     21021-450
11749  SRT 71  RUA CANTILDA MACIEL, 53 - ABOLIÇÃO                                      20755-190
11750  SRT 72  RUA ADAUTO BOTELHO 12 - JACAREPAGUÁ                                     22713-550
11751  SRT 73  RUA JOAQUIM SOARES, 44 - PIEDADE                                        20740-510
11752  SRT 74  RUA FREI BENTO, N 232 - OSWALDO CRUZ                                    21550-220
11753  SRT 75  RUA DESEMBARGADOR MILTON BARCELOS, 78 - CAMPO GRANDE                    23040-070
11754  SRT 76  RUA DOM PEDRO I 450 - SANTA CRUZ                                        23515-010
11755  SRT 77  RUA PATRÍCIA PAGU GALVÃO S/N - BL.01 AP. 408 - JACAREPAGUÁ              22713-535
11756  SRT 78  RUA PATRÍCIA PAGU GALVÃO S/N - BL.02 AP. 507 - JACAREPAGUÁ              22713-535
11757  SRT 79  RUA PATRÍCIA PAGU GALVÃO S/N - BL.01 AP. 105 - JACAREPAGUÁ              22713-535
11758  SRT 80  RUA PATRÍCIA PAGU GALVÃO S/N - BL.02 AP. 403 - JACAREPAGUÁ              22713-535
11759  SRT 81  RUA PATRÍCIA PAGU GALVÃO S/N - BL.02 AP. 404 - JACAREPAGUÁ              22713-535
11760  SRT 82  RUA PATRÍCIA PAGU GALVÃO S/N - BL.02 AP. 405 - JACAREPAGUÁ              22713-535
11761  SRT 83  RUA PATRÍCIA PAGU GALVÃO S/N - BL.02 AP. 408 - JACAREPAGUÁ              22713-535
11762  SRT 84  RUA HUMAITA 104 AP. 704 - HUMAITÁ                                       22261-970
11763  SRT 85  RUA RANGEL PESTANA, 422 AP 101 - BANGU                                  21820-040
11764  SRT 86  RUA MONTEVIDEU, 1140 CASA 02 - PENHA                                    21020-290
11765  SRT 87  RUA FABIO LUZ, 386 (CASA 4) MEIER                                       20720-350
11766  SRT 88  RUA ICURANA Nº 2 - COSMOS                                               23059-340
11767  SRT 89  RUA PADRE JOSINO TAVARES, 547 - BANGU                                   21810-220
11768  SRT 90  RUA MAGDA, 198 - HIGIENÓPOLIS                                           21061-030
11769  SRT 91  RUA CAPITÃO VERDIER 191- BANGU                                          21862-180
11770  SRT 92  RUA FELISBELO FREIRE,159 - RAMOS                                        21031-250
11811  SRT 93  RUA LUIZ DE BRITO, 50 - MARIA DA GRAÇA                                  20785-360
11772  SRT 94  RUA DOUTOR OLINTO DE MAGALHÃES 31 APTO 201 BL A - VIDIGAL               22450-250
11773  SRT 95  RUA ARAUJO LIMA 76 VILA ISABEL                                          20541-050
11774  SRT 96  RUA MAESTRO HENRIQUE VOGLER, 141 CS 1 - BRÁS DE PINA                    21235-680
11775  SRT 97  RUA MONTE PASCOAL, 18 - CACHAMBI                                        20780-270
11812  SRT 99  RUA DOMINGOS DE MAGALHÃES, 868 - MARIA DA GRAÇA                         20785-352

11788  SRT 01          MUDANÇAS                                                        20520-060
11682  SRT 04  ANTIGA - MOURA BRITO, 108 - TIJUCA                                      20730-390
11690  SRT 12  ANTIGA - RUA ANA LEONIDIA, 351 AP.302 - ENGENHO DE DENTRO               20785-320
11691  SRT 13  RUA LAVRAS, 65 - DEL CASTILHO                                           21032-025
11692  SRT 14  ANTIGA - CARDOSO DE MORAIS, 373 - RAMOS                                 22451-520
11693  SRT 15  ANTIGA - TRAVESSA SERVIDÃO - ROCINHA                                    20560-180
11694  SRT 16  ANTIGA - RUA MARECHAL JOFRE, 187 - GRAJAÚ                               20520-050
11695  SRT 17  ANTIGA - RUA CONDE DE BONFIM, 974 AP. 301- TIJUCA                       21236-060
11697  SRT 19  ANTIGA - RUA PROFESSOR JOÃO MASSENA, 234 B - VISTA ALEGRE               20511-050
